estno,state,county,naics,value,weight,miles
1,1,1,4238,73.5981,7.95513,1.46061
2,1,1,4543,90.1588,110.778,5.21673
3,1,1,4543,123.535,121.581,12.2667
4,1,3,2123,248.942,1205.05,208.05
5,1,3,311 ,462.374,419.546,98.6431
6,1,3,311 ,506.709,390.09,168.448
7,1,3,311 ,388.728,464.397,36.6101
8,1,3,314 ,201.578,35.9166,21.7708
9,1,3,321 ,96.5935,331.466,37.6401
10,1,3,323 ,51.9127,9.98595,2.45394
11,1,3,323 ,55.2247,8.95636,5.82204
12,1,3,325 ,230.033,335.13,211.309
13,1,3,325 ,102.518,37.3828,9.23506
14,1,3,325 ,56.6483,303.235,42.7419
15,1,3,326 ,344.686,139.105,72.4603
16,1,3,327 ,1.20283,21.9877,0.976198
17,1,3,336 ,44.0736,1.50447,0.768554
18,1,3,336 ,40.9061,1.36978,1.66372
19,1,3,337 ,437.032,95.1272,9.12473
20,1,3,337 ,346.349,69.2633,63.8307
21,1,3,339 ,43.0386,67.0364,19.9874
22,1,3,339 ,38.9313,76.5592,19.1516
23,1,3,339 ,225.782,62.8057,44.5307
24,1,3,339 ,207.179,55.7351,71.6719
25,1,3,4231,860.283,148.072,22.4759
26,1,3,4233,26.1944,1336.88,84.0219
27,1,3,4233,26.9152,1204.54,231.614
28,1,3,4233,24.4947,1419.48,46.6627
29,1,3,4233,6.37388,58.4588,0.314098
30,1,3,4233,7.68183,53.6942,2.15921
31,1,3,4233,6.13824,50.1587,4.10487
32,1,3,4233,31.2253,2824.98,321.108
33,1,3,4233,38.6823,2522.92,266.571
34,1,3,4233,36.7766,2505.3,229.671
35,1,3,4237,230.341,21.7042,46.1633
36,1,3,4238,372.696,46.346,20.9192
37,1,3,4238,369.438,40.9587,36.5547
38,1,3,4238,361.722,40.3751,5.0239
39,1,3,4238,374.479,46.6007,0.421112
40,1,3,4238,339.563,44.2612,64.8051
41,1,3,4244,265.353,131.227,107.906
42,1,3,4244,272.483,100.815,0.789956
43,1,3,4244,205.912,167.873,0.914096
44,1,3,4244,269.984,177.687,8.0337
45,1,3,4244,985.208,11.407,3.11882
46,1,3,4244,789.532,8.61207,1.41542
47,1,3,4249,107.67,402.305,13.3071
48,1,3,4249,107.362,320.397,140.339
49,1,3,4543,214.1,167.331,12.9094
50,1,3,4543,173.936,149.369,11.4453
51,1,3,4543,239.102,228.776,9.12697
52,1,3,4543,186.012,233.967,2.08528
53,1,3,5111,82.4965,67.593,32.4055
54,1,5,321 ,127.034,367.094,55.6631
55,1,5,325 ,96.1462,138.694,150.24
56,1,5,325 ,52.6406,14.6263,4.59209
57,1,5,325 ,34.5592,195.55,26.85
58,1,7,321 ,97.493,310.373,127.181
59,1,9,336 ,14.0166,0.396826,0.102489
60,1,9,4231,624.523,102.074,12.1449
61,1,9,4238,124.155,15.8932,4.79312
62,1,9,4238,135.991,14.9519,4.83204
63,1,9,4543,87.2328,60.8625,4.43614
64,1,9,4543,71.7791,89.9417,1.28476
65,1,15,311 ,122.152,100.358,16.7324
66,1,15,314 ,241.535,36.7628,7.47335
67,1,15,321 ,107.063,338.655,196.957
68,1,15,325 ,123.509,165.634,171.016
69,1,15,325 ,54.3167,19.0936,24.744
70,1,15,325 ,27.5189,175.286,8.71011
71,1,15,326 ,255.707,91.711,45.553
72,1,15,327 ,0.918079,14.5423,2.05508
73,1,15,331 ,644.03,405.098,168.229
74,1,15,336 ,40.2301,1.16696,1.83268
75,1,15,336 ,41.0856,1.20415,2.91852
76,1,15,337 ,244.168,50.7478,9.432
77,1,15,337 ,232.509,49.0091,11.4619
78,1,15,339 ,15.6728,29.8763,7.92318
79,1,15,339 ,95.194,23.7183,5.72595
80,1,15,4231,1214.38,193.651,99.4226
81,1,15,4233,5.47562,306.092,34.4137
82,1,15,4233,1.59238,9.57027,0.32308
83,1,15,4233,8.18898,604.291,34.1918
84,1,15,4237,145.296,15.6607,8.81747
85,1,15,4238,271.305,32.3154,14.8406
86,1,15,4238,231.57,25.7265,0.94103
87,1,15,4238,240.053,33.5845,6.76254
88,1,15,4244,164.108,74.598,35.18
89,1,15,4244,140.118,95.9362,18.0698
90,1,15,4244,448.404,5.23728,3.48765
91,1,15,4543,135.378,91.4713,1.43909
92,1,15,4543,139.816,136.479,18.9759
93,1,17,336 ,16.4253,0.542705,0.526289
94,1,17,4543,70.6568,51.866,6.32809
95,1,17,4543,74.8844,73.907,6.4663
96,1,19,4238,56.0231,7.13369,6.56732
97,1,21,321 ,100.298,271.707,228.396
98,1,21,327 ,0.713563,8.41909,4.56248
99,1,21,339 ,12.3184,24.947,2.22285
100,1,21,339 ,70.884,21.2381,19.6728
101,1,21,4238,82.0625,10.8949,9.69695
102,1,25,321 ,190.441,514.02,178.725
103,1,25,321 ,143.543,567.66,93.2776
104,1,25,4238,44.6971,4.58947,4.97096
105,1,25,4543,67.8488,54.0894,10.3438
106,1,25,4543,70.7559,77.7073,8.3621
107,1,27,337 ,97.3515,21.398,0.799505
108,1,31,311 ,206.389,184.283,45.9336
109,1,31,323 ,12.3087,2.61241,0.449182
110,1,31,326 ,189.193,77.4365,33.4832
111,1,31,336 ,12.3804,0.394796,0.0664026
112,1,31,4238,56.6353,6.08873,1.18775
113,1,31,5111,44.61,35.0937,34.1681
114,1,33,2123,235.219,1205.17,183.868
115,1,33,321 ,116.338,439.036,168.707
116,1,33,321 ,150.857,405.125,52.559
117,1,33,323 ,20.3915,3.06936,4.76025
118,1,33,325 ,64.027,329.518,21.5584
119,1,33,325 ,263.647,318.388,163.395
120,1,33,325 ,110.874,31.8606,0.690983
121,1,33,326 ,672.172,213.434,188.26
122,1,33,326 ,548.557,221.506,107.795
123,1,33,327 ,0.622562,8.49445,1.68255
124,1,33,336 ,19.1909,0.732931,0.676479
125,1,33,337 ,149.4,33.3095,30.3424
126,1,33,339 ,20.6778,37.5984,18.5479
127,1,33,339 ,133.941,42.3986,15.0214
128,1,33,4231,934.316,150.339,33.9503
129,1,33,4237,162.442,17.4212,12.0242
130,1,33,4238,150.62,16.8227,1.56539
131,1,33,4238,133.794,20.4032,4.86121
132,1,33,4244,77.6582,24.798,7.21054
133,1,33,4244,76.6545,37.5244,8.52337
134,1,33,4244,226.364,2.72599,0.109671
135,1,33,4249,30.4067,97.9417,17.7901
136,1,33,4543,84.017,66.248,13.2544
137,1,33,4543,87.242,82.4478,1.00283
138,1,39,327 ,0.590695,9.15679,2.08026
139,1,39,4231,557.566,79.6996,2.04194
140,1,39,4238,65.6597,7.89916,2.6715
141,1,39,4244,75.1674,41.761,52.7064
142,1,39,4244,76.9181,45.3764,2.77834
143,1,39,4244,238.441,3.04237,0.878073
144,1,39,4543,54.8067,44.6142,2.6296
145,1,39,4543,74.8788,68.8581,0.01448
146,1,43,311 ,317.078,259.218,74.9765
147,1,43,311 ,311.174,308.937,26.7041
148,1,43,321 ,55.3372,216.661,10.6525
149,1,43,322 ,408.232,708.026,1792.25
150,1,43,322 ,136.478,14.5888,9.78731
151,1,43,323 ,22.627,4.76706,3.33232
152,1,43,326 ,218.572,69.8977,137.482
153,1,43,327 ,1.24381,17.437,1.6625
154,1,43,336 ,17.1005,0.550482,0.455036
155,1,43,337 ,237.848,49.3372,17.9763
156,1,43,4231,2538.57,343.52,142.054
157,1,43,4231,2530.86,321.844,306.442
158,1,43,4231,2073.93,413.724,14.4179
159,1,43,4233,5.98366,558.487,23.647
160,1,43,4233,5.06672,301.334,18.1196
161,1,43,4233,1.44909,9.79653,0.2545
162,1,43,4237,97.1808,10.7193,6.55245
163,1,43,4238,108.732,15.2117,10.3807
164,1,43,4238,113.378,15.3189,11.4737
165,1,43,4243,54.0391,1908.01,78.1618
166,1,43,4244,201.175,80.1645,71.593
167,1,43,4244,191.57,82.9851,115.506
168,1,43,4244,155.468,132.027,18.4497
169,1,43,4244,139.538,116.954,4.28465
170,1,43,4244,626.146,6.85371,3.84026
171,1,43,4244,590.807,7.34236,4.70553
172,1,43,4249,89.136,199.206,91.8319
173,1,43,4249,64.5745,245.537,164.074
174,1,43,4543,76.0992,60.7891,13.1128
175,1,43,4543,88.2834,88.2089,4.95984
176,1,45,327 ,0.685579,8.97724,1.9201
177,1,45,4244,79.0533,49.4308,14.133
178,1,45,4244,83.1,53.2347,4.70981
179,1,45,4244,209.207,3.50958,2.20947
180,1,47,311 ,128.069,128.205,24.2803
181,1,47,321 ,76.2501,238.532,12.2
182,1,47,4231,539.877,71.4033,13.5271
183,1,47,4244,74.7588,34.998,5.75689
184,1,47,4244,57.3448,44.8114,3.72155
185,1,47,4244,242.053,2.96022,1.75262
186,1,47,4249,45.1566,154.579,31.4446
187,1,47,4543,73.1861,74.7916,10.7341
188,1,47,4543,87.4872,94.227,5.04708
189,1,49,311 ,177.363,148.287,40.158
190,1,49,313 ,730.804,110.497,57.5324
191,1,49,316 ,1416.21,225.73,70.4537
192,1,49,321 ,69.1303,217.239,106.528
193,1,49,323 ,11.2801,2.45357,0.162801
194,1,49,326 ,245.734,124.572,17.3396
195,1,49,327 ,0.939357,10.8283,0.221128
196,1,49,337 ,169.483,36.37,25.7996
197,1,49,4238,127.502,17.9952,18.6485
198,1,49,4238,153.032,17.516,8.93179
199,1,49,4244,97.2842,37.4824,54.1722
200,1,49,4244,77.4916,44.3623,3.04363
201,1,49,4244,254.738,3.22065,1.74152
202,1,49,4543,111.263,74.5993,0.869892
203,1,49,4543,116.137,130.535,11.0558
204,1,51,323 ,14.9485,2.96636,2.32505
205,1,51,326 ,262.133,103.865,28.8947
206,1,51,327 ,0.959673,12.975,4.39322
207,1,51,336 ,17.6364,0.633181,0.480678
208,1,51,337 ,97.0601,21.6348,4.00832
209,1,51,339 ,10.2308,27.7731,12.0799
210,1,51,339 ,99.5357,24.6211,6.62891
211,1,51,4238,89.7508,12.257,4.41842
212,1,51,4543,118.61,107.348,1.384
213,1,51,4543,120.041,143.451,9.18539
214,1,53,321 ,114.529,332.404,269.438
215,1,53,4238,79.1378,9.51805,0.0144486
216,1,53,4244,62.0382,37.7274,12.7649
217,1,53,4244,58.248,46.8404,11.2485
218,1,53,4244,200.267,2.66907,0.413443
219,1,53,4249,27.205,110.844,9.23704
220,1,53,5111,45.5466,40.4061,28.6662
221,1,55,311 ,168.553,152.068,72.3081
222,1,55,323 ,20.9396,3.85404,0.477334
223,1,55,326 ,354.243,132.658,95.6131
224,1,55,336 ,20.2041,0.70857,0.909557
225,1,55,337 ,118.286,24.8765,5.39706
226,1,55,4231,600.056,81.7437,8.0052
227,1,55,4233,8.18465,473.262,6.04762
228,1,55,4233,1.86046,20.2671,0.0247994
229,1,55,4233,13.6855,1143.32,112.086
230,1,55,4237,168.424,18.0351,26.9634
231,1,55,4238,122.072,16.3862,4.55626
232,1,55,4238,125.405,16.3304,11.8944
233,1,55,4244,63.9641,34.7825,11.5768
234,1,55,4244,62.7998,42.5606,0.220757
235,1,55,4244,170.435,2.51359,3.0284
236,1,55,4543,130.891,116.518,8.9959
237,1,55,4543,145.569,163.673,12.5857
238,1,55,5111,84.288,58.8253,7.75748
239,1,57,321 ,65.4881,277.316,20.9345
240,1,59,311 ,114.483,90.8124,2.49227
241,1,59,321 ,64.0178,201.046,82.8701
242,1,59,327 ,0.82954,9.55759,5.01091
243,1,59,337 ,112.477,28.6833,26.9001
244,1,59,4238,50.928,5.65823,2.53746
245,1,59,4543,59.1239,46.649,3.27453
246,1,59,4543,72.5899,80.6156,3.85048
247,1,61,311 ,137.113,122.328,44.7349
248,1,61,4238,44.6412,6.22324,1.32079
249,1,61,4249,34.0491,122.016,55.9934
250,1,65,321 ,56.529,142.684,64.0644
251,1,67,311 ,93.8788,103.23,91.8671
252,1,67,4238,46.923,5.63767,2.22242
253,1,69,311 ,184.06,163.163,32.2537
254,1,69,323 ,31.8474,7.66448,1.48486
255,1,69,323 ,30.9659,6.56161,2.70139
256,1,69,326 ,366.362,157.782,107.702
257,1,69,327 ,0.700858,9.27472,5.56292
258,1,69,336 ,16.7798,0.560002,0.600639
259,1,69,337 ,286.163,61.6885,20.4168
260,1,69,337 ,268.146,73.571,10.6929
261,1,69,339 ,34.891,60.7243,45.248
262,1,69,339 ,36.5993,62.1256,38.4735
263,1,69,339 ,246.203,57.5844,29.7772
264,1,69,339 ,200.336,55.7402,26.6227
265,1,69,4231,3317.32,447.803,116.959
266,1,69,4231,3814.05,491.35,40.5264
267,1,69,4231,3103.77,443.635,97.5496
268,1,69,4231,2722.68,518.866,188.668
269,1,69,4233,22.2033,1627.92,204.794
270,1,69,4233,21.2914,1556.45,388.164
271,1,69,4233,11.0283,763.27,32.4756
272,1,69,4233,13.8222,677.402,273.549
273,1,69,4233,3.92104,29.76,0.374564
274,1,69,4233,3.53642,27.8179,0.222848
275,1,69,4237,359.919,41.0196,36.6468
276,1,69,4237,359.26,39.1424,10.0155
277,1,69,4238,246.349,33.3471,18.1191
278,1,69,4238,305.326,33.8277,14.2465
279,1,69,4238,276.937,27.0403,3.82928
280,1,69,4238,215.196,29.4664,33.6127
281,1,69,4244,220.076,117.846,82.4323
282,1,69,4244,188.193,123.253,54.6273
283,1,69,4244,191.373,158.609,22.7097
284,1,69,4244,194.316,156.044,15.783
285,1,69,4244,739.627,8.50363,3.78923
286,1,69,4244,642.407,8.81244,1.56478
287,1,69,4249,138.688,368.264,181.942
288,1,69,4249,112.064,418.799,14.3201
289,1,69,4249,121.816,408.751,227.439
290,1,69,4543,167.115,162.982,13.7986
291,1,69,4543,136.713,154.052,19.9875
292,1,69,4543,178.41,228.565,4.86407
293,1,69,4543,212.91,195.176,8.61065
294,1,69,5111,53.3546,43.449,35.653
295,1,71,314 ,185.752,35.6469,32.5826
296,1,71,321 ,104.413,283.491,46.881
297,1,71,326 ,193.736,106.068,33.4204
298,1,71,327 ,0.53109,7.14029,1.56333
299,1,71,331 ,423.809,208.24,61.5763
300,1,71,4238,33.1667,5.65302,3.05264
301,1,71,4244,102.31,39.3665,86.9548
302,1,71,4244,72.4263,57.7478,3.73228
303,1,71,4244,247.611,3.02907,2.79172
304,1,71,4543,84.2611,84.2615,4.08087
305,1,71,4543,105.787,85.5668,14.3784
306,1,73,2121,254.585,3380.62,246.625
307,1,73,2123,379.659,2557.93,607.889
308,1,73,2123,511.516,2162.35,269.365
309,1,73,311 ,874.037,821.015,523.18
310,1,73,311 ,803.2,848.105,116.24
311,1,73,311 ,800.275,817.532,188.85
312,1,73,311 ,1023.84,877.101,166.706
313,1,73,311 ,779.613,855.493,433.967
314,1,73,312 ,143.239,2.17242,4.05944
315,1,73,312 ,375.302,165.963,7.30726
316,1,73,314 ,371.011,72.6641,129.234
317,1,73,321 ,119.839,323.579,230.115
318,1,73,322 ,502.447,688.669,553.666
319,1,73,322 ,136.707,12.7179,1.83139
320,1,73,323 ,261.491,48.6508,5.95518
321,1,73,323 ,268.956,52.8652,28.7904
322,1,73,323 ,267.642,49.8248,21.2829
323,1,73,323 ,272.349,48.7505,38.9907
324,1,73,323 ,254.569,57.2692,45.4392
325,1,73,323 ,278.97,41.3442,28.2525
326,1,73,323 ,253.196,54.7381,63.3193
327,1,73,323 ,253.615,49.3239,10.4188
328,1,73,323 ,300.866,46.2486,8.57815
329,1,73,323 ,291.346,45.3492,2.01087
330,1,73,323 ,272.666,45.2207,10.0008
331,1,73,323 ,300.005,54.2848,15.1758
332,1,73,324 ,241.804,418.804,5.89163
333,1,73,324 ,2455.05,10608.8,3389.26
334,1,73,325 ,132.592,822.146,34.8326
335,1,73,325 ,134.414,806.122,12.7856
336,1,73,325 ,123.652,731.885,17.2535
337,1,73,325 ,410.682,615.168,346.687
338,1,73,325 ,426.877,722.575,546.892
339,1,73,325 ,444.794,624.047,258.228
340,1,73,325 ,176.357,68.9749,68.3902
341,1,73,325 ,212.89,67.2606,88.5987
342,1,73,325 ,231.827,76.4612,53.2891
343,1,73,326 ,739.766,273.637,72.0087
344,1,73,326 ,655.944,288.857,88.9991
345,1,73,327 ,5.52358,68.2487,17.0857
346,1,73,327 ,6.70988,87.3987,18.7751
347,1,73,327 ,6.05291,94.9388,44.3485
348,1,73,327 ,5.17893,87.1591,41.9339
349,1,73,327 ,6.03458,81.4915,10.6708
350,1,73,327 ,6.83527,75.5716,22.8658
351,1,73,331 ,2517.67,1325.22,180.009
352,1,73,331 ,1777.07,1574.19,1309.48
353,1,73,331 ,2813.91,1535.84,433.565
354,1,73,331 ,2345.99,1508.05,950.605
355,1,73,336 ,59.4529,2.08797,3.73839
356,1,73,336 ,72.9308,2.39449,1.66778
357,1,73,336 ,68.1385,1.86488,3.994
