estno,state,county,naics,value,weight,miles
1,1,1,4238,72.7147,8.73467,3.28702
2,1,1,4543,113.183,83.6369,8.38047
3,1,1,4543,88.9206,115.428,5.78949
4,1,3,2123,208.015,1141.69,215.725
5,1,3,311 ,523.629,533.863,97.5064
6,1,3,311 ,503.457,410.096,118.721
7,1,3,311 ,583.458,456.017,123.004
8,1,3,314 ,210.718,36.9724,17.8013
9,1,3,321 ,90.7855,254.337,73.3301
10,1,3,323 ,46.8013,8.9771,4.59462
11,1,3,323 ,54.4122,9.65094,4.73062
12,1,3,323 ,49.1445,10.2252,5.23208
13,1,3,325 ,224.152,308.374,139.638
14,1,3,325 ,109.144,38.0548,24.1961
15,1,3,325 ,55.2967,355.804,18.7225
16,1,3,326 ,252.785,107.418,67.7978
17,1,3,327 ,1.37816,16.2061,4.5272
18,1,3,336 ,31.2945,1.46067,0.893265
19,1,3,336 ,38.6111,1.27027,0.982804
20,1,3,337 ,337.547,73.393,28.5262
21,1,3,337 ,344.548,94.465,24.9107
22,1,3,339 ,38.5338,74.2443,33.9613
23,1,3,339 ,43.3107,83.3444,30.8449
24,1,3,339 ,245.543,56.6152,29.5474
25,1,3,339 ,244.793,60.8436,32.0954
26,1,3,4231,826.902,148.478,43.7676
27,1,3,4233,29.5084,1130.58,104.364
28,1,3,4233,22.2188,1072.23,104.909
29,1,3,4233,25.5033,1347.18,109.651
30,1,3,4233,20.5504,1269.83,121.423
31,1,3,4233,6.40493,51.0701,1.78965
32,1,3,4233,6.69129,50.9566,1.45202
33,1,3,4233,6.58027,48.8295,1.61447
34,1,3,4233,7.66141,55.5542,1.46583
35,1,3,4233,38.1068,2409.28,202.91
36,1,3,4233,33.4201,2995.12,219.398
37,1,3,4233,34.3057,2504.71,207.187
38,1,3,4233,31.868,2606.36,240.458
39,1,3,4237,209.34,27.3933,11.2419
40,1,3,4238,369.808,32.5396,23.9598
41,1,3,4238,409.298,47.1501,18.4823
42,1,3,4238,301.835,51.2792,23.0798
43,1,3,4238,327.458,47.7638,23.4459
44,1,3,4238,380.439,41.0844,21.173
45,1,3,4244,248.02,118.028,78.3082
46,1,3,4244,295.025,134.007,84.3488
47,1,3,4244,227.096,153.059,22.8728
48,1,3,4244,230.118,138.466,18.3118
49,1,3,4244,690.964,10.7289,4.46584
50,1,3,4244,841.538,11.3002,5.18284
51,1,3,4249,95.9245,361.835,82.1879
