"STRATO","M1","S1","N","DOM1","COST","CENS","SOLUZ"
"1",1,266.6241,131.243282790473,3,1,1,0,2
"2",2,430.8695,15.0942549045986,2,1,1,0,2
"3",3,93.3954,0,1,1,1,0,1
"4",4,155.917,0,1,1,1,0,1
"5",5,128.033,0,1,1,1,0,1
"6",6,195.899,0,1,1,1,0,1
"7",7,371.222333333333,180.768238597259,3,1,1,0,2
"8",8,2419.26473529412,2163.98365062433,34,1,1,0,2
"9",9,217.902,0,1,1,1,0,1
"10",10,306.3985,11.2440584810379,2,1,1,0,2
"11",11,147.168,0,1,1,1,0,1
"12",12,162.187,0,1,1,1,0,1
"13",13,186.685,0,1,1,1,0,1
"14",14,109.453,0,1,1,1,0,1
"15",15,147.571,0,1,1,1,0,1
"16",16,1918.12123510638,1967.82898242948,94,1,1,0,3.15796276175598
"17",17,555.888,323.394988795339,8,1,1,0,2
"18",18,135.654,0,1,1,1,0,1
"19",19,3137.97942557377,3036.19621661588,305,1,1,0,15.8096214957653
"20",20,1048.62027313433,884.443104491291,134,1,1,0,2.0233289571517
"21",21,1732.37458899083,1352.53733457463,109,1,1,0,2.5169092578715
"22",22,645.42891888889,569.602240508709,90,1,1,0,2
"23",23,759.974010588235,735.863482160249,340,1,1,0,4.2713776080756
"24",24,1832.36753142857,1781.65954870517,350,1,1,0,10.6459534399467
"25",25,1509.75741313559,1720.3028378461,236,1,1,0,6.93120441223679
"26",26,3269.52196420455,4868.69955526591,176,1,1,0,14.6290943690027
"27",27,1455.17779070352,1567.15402875319,398,1,1,0,10.6484538714989
"28",28,10263.0585564516,8990.05333759689,186,1,1,0,28.5474296210441
"29",29,2026.25739190752,1930.5288692785,346,1,1,0,11.4036583528053
"30",30,987.862281012658,959.388470716689,316,1,1,0,5.17575101613457
"31",31,3902.1738858209,2772.52629144261,134,1,1,0,6.34267224362378
"32",32,1501.5369537428,1552.07631375977,521,1,1,0,13.8051965052503
"33",33,1632.40137185629,1366.58765957474,167,1,1,0,3.89624056997536
"34",34,873.297973333332,532.972747574933,15,1,1,0,2
"35",35,575.0355,38.2369342417554,6,1,1,0,2
"36",36,338.497,27.6151551054851,4,1,1,0,2
"37",37,65.7212,0,1,1,1,0,1
"38",38,29691.9339076923,3275.28375615832,130,1,1,0,7.26915755351175
"39",39,35248.2348837209,1330.84313684814,43,1,1,0,2
"40",1,154.48,0,1,2,1,0,1
"41",2,318.496,0,1,2,1,0,1
"42",3,137.498,0,1,2,1,0,1
"43",4,288.949,0,1,2,1,0,1
"44",5,1.31466,0,1,2,1,0,1
"45",6,279.107,0,1,2,1,0,1
"46",7,0.7581,0,1,2,1,0,1
"47",8,71.2540333333333,96.6688407756159,3,2,1,0,2
"48",9,0.936932,0,1,2,1,0,1
"49",10,340.226256784615,315.121291286018,65,2,1,0,2.6445085035115
"50",11,878.3351298,758.416180327542,55,2,1,0,5.38547659849367
"51",12,339.131329765766,467.715158368208,111,2,1,0,6.70283128324088
"52",13,483.967465364017,769.410060457734,239,2,1,0,23.7415804114165
"53",14,192.954419601626,279.37562632104,246,2,1,0,8.87314308770258
"54",15,159.406603893939,185.531679106718,66,2,1,0,2
"55",16,1659.93367378218,2402.6862432863,101,2,1,0,31.3308588011404
"56",17,287.588614583333,340.439332159076,48,2,1,0,2.1097686323724
"57",18,261.892655005494,389.497772624967,182,2,1,0,9.15229964080709
"58",19,348.004944552448,376.425439121007,143,2,1,0,6.94974495497654
"59",20,1473.88921578947,992.854154156417,19,2,1,0,2.43552685142437
"60",21,425.477010833333,645.465387332359,84,2,1,0,7.00013004655233
"61",22,163.205799904762,171.908126263447,21,2,1,0,2
"62",23,343.487604383562,464.935053402054,73,2,1,0,4.38196611175141
"63",24,139.7642554,156.871776050115,120,2,1,0,2.43041212597188
"64",25,483.502748534654,502.61142082619,101,2,1,0,6.55401740521328
"65",26,358.591691142857,437.889384665472,28,2,1,0,2
"66",27,407.327851204545,494.567412393183,44,2,1,0,2.80951941154557
"67",28,214.758687663551,294.885431276385,107,2,1,0,4.07371796577232
"68",29,289.802842789855,539.721805099667,138,2,1,0,9.61618731366918
"69",30,1721.18756923077,1036.83940471994,13,2,1,0,2
"70",31,252.714122551724,522.128787117756,58,2,1,0,3.90984459377358
"71",32,557.987214029412,559.05128636046,34,2,1,0,2.45405579146381
"72",33,37.861575,26.898382653887,24,2,1,0,2
"73",34,40.92295,10.264397391043,2,2,1,0,2
"74",35,1431.75450178571,1197.33149647325,56,2,1,0,8.65677834797962
"75",36,24.208505,52.7109627856807,14,2,1,0,2
"76",37,625.782625,563.215939758705,4,2,1,0,2
"77",38,3333.96095238095,264.134210352429,21,2,1,0,2
"78",39,8365.17492063492,728.37964800959,63,2,1,0,5.92450698294188
"79",40,2783.5319047619,250.938716274199,21,2,1,0,2
"80",41,7572.18083333333,568.121076039787,36,2,1,0,2.64056745004097
"81",42,59.0460375,41.5177481408638,2,2,1,0,2
"82",1,4805.73384102564,5182.97640643625,39,3,1,0,4.81796859548875
"83",2,3920.10953846154,2556.34726853949,13,3,1,0,2
"84",3,831.641,0,1,3,1,0,1
"85",4,1716.32516455696,1308.65106174424,79,3,1,0,2.46417234412144
"86",5,2631.5067,2340.09846180961,60,3,1,0,3.34661310568718
"87",6,87609.2866666667,9251.44941944983,15,3,1,0,3.30766230342628
"88",7,76613.7277777778,4394.61537659338,18,3,1,0,2
"89",1,208.407,0,1,4,1,0,1
"90",2,210.718,0,1,4,1,0,1
"91",3,1694.8563362069,1821.82446106203,58,4,1,0,4.98255968361363
"92",4,1014.23466666667,383.118784204354,3,4,1,0,2
"93",5,214.298,0,1,4,1,0,1
"94",6,926.504,304.230248817884,6,4,1,0,2
"95",7,370.202,0,1,4,1,0,1
"96",8,275.915,0,1,4,1,0,1
"97",9,1445.49295151515,1220.48544168518,33,4,1,0,2
"98",10,4641.37542105263,2643.79213712859,38,4,1,0,4.73727820694805
"99",11,6006.17268749999,5929.36055480268,48,4,1,0,13.4204501861154
"100",12,868.842119444444,774.069697718965,36,4,1,0,2
"101",13,1834.92492173913,1799.98359807356,92,4,1,0,7.80862132014954
"102",14,1844.16869482759,2051.61067495485,116,4,1,0,11.2220171086416
"103",15,1087.75191935484,973.750440899811,155,4,1,0,7.11700633855399
"104",16,1605.06552615385,1885.3235139759,65,4,1,0,5.77852807848722
"105",17,1609.297875,1938.72993653248,16,4,1,0,2
"106",18,2775.3021875,2565.55340441946,32,4,1,0,3.87123044670812
"107",19,5471.39166666667,2984.00975071109,24,4,1,0,3.37698760635769
"108",20,276.7505,11.1620340944202,2,4,1,0,2
"109",21,40820.9260869565,1853.79391048808,23,4,1,0,2.01051479971076
"110",22,47814.3388888889,2927.47217386024,18,4,1,0,2.48475325358882
"111",1,1402.7,0,1,5,1,0,1
"112",2,1402.18,0,1,5,1,0,1
"113",3,1318.68977777778,1019.86623757789,9,5,1,0,2
"114",4,2683.36542903226,2105.12588147433,31,5,1,0,5.28940113975263
"115",5,5165.32625,1822.55363293941,16,5,1,0,2.36356222242015
"116",6,9251.09023749999,6203.0461507452,16,5,1,0,8.04436439115408
"117",7,1799.0247,2604.49020526632,10,5,1,0,2.11100600367029
"118",8,49425.7666666667,5617.49269368362,12,5,1,0,5.4637460081489
"119",9,14677.8,726.103136230966,3,5,1,0,2
"120",1,137.431,11.6198857352385,2,6,1,0,2
"121",2,229.911333333333,77.0512851210514,3,6,1,0,2
"122",3,135.545,0,1,6,1,0,1
"123",4,160.345,0,1,6,1,0,1
"124",5,204.791411111111,90.2719019682039,9,6,1,0,2
"125",6,183.9285,2.89029896810001,2,6,1,0,2
"126",7,101.701,0,1,6,1,0,1
"127",8,120.6895375,54.9977704524678,8,6,1,0,2
"128",9,365.472777852349,424.301566857107,149,6,1,0,22.2947068436423
"129",10,351.069548888889,378.630487752333,45,6,1,0,6.0085400023901
"130",11,142.384322580645,116.205972181673,62,6,1,0,2.5407445345716
"131",12,131.486981818182,102.551738428178,11,6,1,0,2
"132",13,1035.89267878788,784.2988064601,66,6,1,0,18.2543491006339
"133",14,379.317561619719,416.393659289911,284,6,1,0,41.702617032309
"134",15,439.613578688524,493.518250357448,122,6,1,0,21.2326357991099
"135",16,217.154579117647,200.862692354871,340,6,1,0,24.0834698709433
"136",17,390.22615,240.847898773001,28,6,1,0,2.37816375186967
"137",18,213.533760701754,206.629957232695,285,6,1,0,20.7672508103058
"138",19,322.866401265823,397.008914460353,158,6,1,0,22.1206664731645
"139",20,302.0616,256.389912730242,107,6,1,0,9.6744341834733
"140",21,333.394743518519,361.713190037495,216,6,1,0,27.5523698216449
"141",22,243.220998461538,239.14427707633,65,6,1,0,5.48168671076687
"142",23,3213.69393,1060.60256855999,10,6,1,0,3.74018889772218
"143",24,40.0005,0,1,6,1,0,1
"144",25,276.058586666667,236.302926895937,30,6,1,0,2.49994939634153
"145",26,80.3957,0,1,6,1,0,1
"146",27,4342.5535483871,330.077830823166,31,6,1,0,3.60843521594193
"147",1,158.152,0,1,7,1,0,1
"148",2,1139.43528571429,496.290997006714,7,7,1,0,2
"149",3,158.109,0,1,7,1,0,1
"150",4,1787.56613888889,2215.51377689726,18,7,1,0,4.29502589530887
"151",5,731.500285714286,261.320966629502,7,7,1,0,2
"152",6,2013.67657692308,1756.35403837042,26,7,1,0,4.9181779470191
"153",7,1310.04544590164,1301.38754703391,61,7,1,0,8.5497872530105
"154",8,602.470813483146,476.264199482143,89,7,1,0,4.56516806142226
"155",9,789.003281967213,620.430637019816,61,7,1,0,4.07607246885528
"156",10,1475.02013793104,2132.48582552573,58,7,1,0,13.3208817540138
"157",11,509.756183018868,341.324014466899,53,7,1,0,2
"158",12,983.453014942529,913.392861766125,87,7,1,0,8.55846132310326
"159",13,748.739368852459,674.999494584584,61,7,1,0,4.43457607055441
"160",14,761.726314583333,694.227551747351,48,7,1,0,3.58890456090224
"161",15,1541.65461208054,1804.31699920843,149,7,1,0,28.9546244067492
"162",16,246.298555555556,105.895109341336,9,7,1,0,2
"163",17,672.454174074074,558.750883066352,27,7,1,0,2
"164",18,723.354676190476,814.09576377891,21,7,1,0,2
"165",19,827.819086363636,442.621539445937,22,7,1,0,2
"166",20,9854.04622222222,13216.2707074861,9,7,1,0,9
"167",21,5836.25540000001,6443.51254396359,17,7,1,0,11.7975119578106
"168",22,1103.31555263158,1445.76528070713,38,7,1,0,5.91698153942881
"169",23,1033.11042857143,2790.47152726073,14,7,1,0,4.20750322680587
"170",24,1030.29783548387,1053.66587276663,31,7,1,0,3.51789954816705
"171",25,1204.333738,1120.00246395723,10,7,1,0,2
"172",26,604.830765217391,379.29789366218,23,7,1,0,2
"173",27,8926.94375,683.430025392511,8,7,1,0,2
